source_path,target_path,action,status_code,confidence,reason
/,/,retain,,high,Canonical homepage retained
/service-handyman-services,/services/handyman-services,redirect,301,high,Migrate legacy service detail path to /services/{service-slug}
/service-interior-painting,/services/interior-painting,redirect,301,high,Migrate legacy service detail path to /services/{service-slug}
/service-exterior-painting,/services/exterior-painting,redirect,301,high,Migrate legacy service detail path to /services/{service-slug}
/service-kitchen-and-cabinet-refinishing,/services/kitchen-and-cabinet-refinishing,redirect,301,high,Migrate legacy service detail path to /services/{service-slug}
/reviews,/reviews,retain,,high,Reviews hub retained
/gallery-All,/projects,redirect,301,medium,Consolidate legacy gallery category pages into projects hub
/gallery-Exterior-Painting,/projects,redirect,301,medium,Consolidate legacy gallery category pages into projects hub
/gallery-Interior-Painting,/projects,redirect,301,medium,Consolidate legacy gallery category pages into projects hub
/blog,/blog,retain,,high,Blog hub retained
/blog-smart-solutions-for-urban-living,/blog/smart-solutions-for-urban-living,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-from-blueprint-to-build-the,/blog/from-blueprint-to-build-the,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-elevate-your-living-space-smart,/blog/elevate-your-living-space-smart,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-seamless-transitions-integrating-modern-amenities,/blog/seamless-transitions-integrating-modern-amenities,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-creating-sanctuary-how-kingdom-construction,/blog/creating-sanctuary-how-kingdom-construction,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-masterful-upgrades-how-kingdom-construction,/blog/masterful-upgrades-how-kingdom-construction,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-revitalizing-heritage-bringing-new-life,/blog/revitalizing-heritage-bringing-new-life,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-building-dreams-how-kingdom-construction,/blog/building-dreams-how-kingdom-construction,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-from-concept-to-reality-kingdom,/blog/from-concept-to-reality-kingdom,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-beyond-walls-how-kingdom-construction,/blog/beyond-walls-how-kingdom-construction,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-from-concept-to-reality-the,/blog/from-concept-to-reality-the,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-renovation-with-precision-kingdom-constructions,/blog/renovation-with-precision-kingdom-constructions,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-innovative-design-solutions-kingdom-constructions,/blog/innovative-design-solutions-kingdom-constructions,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-stress-free-remodeling-how-kingdom-construction,/blog/stress-free-remodeling-how-kingdom-construction,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-garden-retreats-creating-outdoor-spaces,/blog/garden-retreats-creating-outdoor-spaces,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-innovative-kitchen-and-bath-renovations,/blog/innovative-kitchen-and-bath-renovations,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
/blog-the-latest-trends-in-sustainable,/blog/the-latest-trends-in-sustainable,redirect,301,high,Migrate legacy blog detail path to /blog/{post-slug}
